dff_multi,two_stage_multi,two_stage_single,dfl_multi,dfl_single,oracle
248.96815490722656,265.33416748046875,432.97552490234375,77.94978332519531,413.5125732421875,-77.20988464355469
-43.29521942138672,-25.27767562866211,-33.36903762817383,-37.50532531738281,-35.94410705566406,-77.20988464355469
-41.939727783203125,-33.26802062988281,-39.867919921875,-41.118350982666016,-43.20430374145508,-77.20988464355469
-42.49399185180664,-37.73843765258789,-40.80430221557617,-38.03023147583008,-43.559627532958984,-77.20988464355469
-43.15727615356445,-41.2588996887207,-45.53362274169922,-45.413978576660156,-46.638771057128906,-77.20988464355469
-42.09352111816406,-37.77425003051758,-46.051795959472656,-47.40861129760742,-46.767330169677734,-77.20988464355469
-61.86797332763672,-41.596370697021484,-46.88269805908203,-52.55202102661133,-50.27482223510742,-77.20988464355469
-61.85821533203125,-46.46931076049805,-46.58390426635742,-53.08559799194336,-49.99763488769531,-77.20988464355469
-64.1888656616211,-48.93307113647461,-47.2936897277832,-55.18604278564453,-52.27967071533203,-77.20988464355469
