two_stage_multi,two_stage_single,dfl_multi,dfl_single
-26.110109329223633,-24.71076202392578,-18.621299743652344,-28.189006805419922
-39.23851776123047,-37.18079376220703,-35.392677307128906,-35.04541015625
-42.26156234741211,-40.63883972167969,-41.734439849853516,-45.12527847290039
-43.28469467163086,-38.903236389160156,-37.95742416381836,-48.351139068603516
-46.355926513671875,-41.06620407104492,-35.17066192626953,-45.18313980102539
-47.52800369262695,-43.176048278808594,-48.633480072021484,-46.00478744506836
-46.994544982910156,-44.32099533081055,-45.88615417480469,-46.339778900146484
-48.26852035522461,-43.77770233154297,-48.033607482910156,-49.49832534790039
-46.5337028503418,-45.030704498291016,-48.227481842041016,-50.423439025878906
-48.80430221557617,-48.12665557861328,-48.757904052734375,-47.85138702392578
-50.85960006713867,-48.206729888916016,-44.50871658325195,-52.03279495239258
-46.92585754394531,-48.96978759765625,-48.58314514160156,-51.30129623413086
-48.58917999267578,-47.09291458129883,-50.865962982177734,-51.368709564208984
-53.51302719116211,-48.859214782714844,-48.592857360839844,-51.74102020263672
-51.617156982421875,-50.43716812133789,-49.117286682128906,-51.573768615722656
-54.07792282104492,-50.6611213684082,-48.4771728515625,-52.502811431884766
-50.39731979370117,-50.099700927734375,-49.80345153808594,-51.82674789428711
-52.52535629272461,-51.27204895019531,-51.950252532958984,-51.4991569519043
-55.13578414916992,-51.97235107421875,-50.386016845703125,-51.597713470458984
-53.7790641784668,-51.857112884521484,-51.45185852050781,-50.26174545288086
-53.8038444519043,-50.158721923828125,-50.9550895690918,-53.69911193847656
-53.23154067993164,-51.94789123535156,-39.77989959716797,-50.96335220336914
-57.85177993774414,-51.89182662963867,-51.40794372558594,-51.209957122802734
-58.5092658996582,-51.06513214111328,-49.96261215209961,-52.90794372558594
-58.28358459472656,-51.8180046081543,-50.357933044433594,-51.56345748901367
-57.384464263916016,-52.61688995361328,-49.753387451171875,-51.88990020751953
-57.804298400878906,-53.59503173828125,-49.60222625732422,-52.74729919433594
-59.80637741088867,-52.34268569946289,-49.11022186279297,-53.32201385498047
-52.39434814453125,-52.2027702331543,-49.62720489501953,-53.5542106628418
-54.965599060058594,-52.21416091918945,-48.2092399597168,-52.63554000854492
-59.48705291748047,-53.3336296081543,-49.60944747924805,-52.84951400756836
-55.55475997924805,-52.7310791015625,-51.186519622802734,-53.343910217285156
-57.562442779541016,-54.01791000366211,-51.14067840576172,-53.810691833496094
-58.870670318603516,-52.99474334716797,-49.387901306152344,-51.297874450683594
-59.20002746582031,-53.51498794555664,-50.33530044555664,-51.10005569458008
-58.83720016479492,-51.87937927246094,-50.25090789794922,-53.197265625
-58.4157600402832,-52.72674560546875,-51.114646911621094,-54.51927185058594
-58.338584899902344,-54.80166244506836,-48.409263610839844,-52.65780258178711
-59.147438049316406,-52.72426986694336,-48.282989501953125,-53.964744567871094
-59.15705108642578,-52.67079162597656,-47.26462936401367,-51.324737548828125
-54.307918548583984,-54.56566619873047,-49.610958099365234,-54.171592712402344
-57.59376525878906,-54.604129791259766,-49.73091125488281,-53.02675247192383
-59.41709518432617,-53.33660888671875,-49.1597785949707,-52.864776611328125
-58.36840057373047,-53.57596206665039,-47.07232666015625,-52.62929153442383
-59.427913665771484,-54.14344787597656,-50.56102752685547,-54.26702117919922
-60.30271530151367,-55.8013801574707,-50.96225357055664,-53.474647521972656
-60.13540267944336,-55.10588073730469,-50.19558334350586,-53.49174880981445
-57.87858963012695,-54.99824523925781,-49.7773323059082,-51.74778366088867
-57.62351608276367,-52.66535568237305,-50.170108795166016,-54.55262756347656
-59.858455657958984,-54.11562728881836,-45.50572967529297,-52.01818084716797
