dff_multi,two_stage_multi,two_stage_single,dfl_multi,dfl_single,oracle
159.1182098388672,160.64295959472656,419.02606201171875,326.7882995605469,454.6048278808594,-77.20988464355469
-59.36760711669922,-26.950740814208984,-36.09304428100586,-32.464744567871094,-39.06690216064453,-77.20988464355469
-60.68606948852539,-37.58527374267578,-38.9022331237793,-37.92047882080078,-45.762638092041016,-77.20988464355469
-63.14512252807617,-43.63068389892578,-41.79541015625,-42.94622802734375,-45.977874755859375,-77.20988464355469
-62.2010612487793,-45.138675689697266,-43.314491271972656,-47.75190734863281,-47.784210205078125,-77.20988464355469
-62.113739013671875,-43.71004867553711,-43.93846130371094,-42.30735397338867,-47.04393768310547,-77.20988464355469
-63.50946807861328,-48.20668029785156,-46.06864547729492,-49.87189865112305,-49.08171081542969,-77.20988464355469
-61.52157211303711,-48.201438903808594,-45.98550796508789,-51.06169891357422,-50.67827224731445,-77.20988464355469
-62.95584487915039,-47.576820373535156,-45.100467681884766,-49.253238677978516,-49.1780891418457,-77.20988464355469
