dff_multi,two_stage_multi,two_stage_single,dfl_multi,dfl_single,oracle
241.90496826171875,125.81675720214844,466.7203063964844,242.73013305664062,432.0285949707031,-77.20988464355469
-56.326011657714844,-37.115501403808594,-33.76139831542969,-33.748680114746094,-33.725791931152344,-77.20988464355469
-56.351688385009766,-39.61532211303711,-36.98586654663086,-46.319480895996094,-44.72028732299805,-77.20988464355469
-57.02395248413086,-41.46026611328125,-40.126399993896484,-41.64302444458008,-44.58229446411133,-77.20988464355469
-60.866512298583984,-43.7972297668457,-39.891746520996094,-36.823211669921875,-44.64464569091797,-77.20988464355469
-63.082435607910156,-44.27287292480469,-41.62771224975586,-43.28702163696289,-46.16543197631836,-77.20988464355469
-61.58320236206055,-47.80460739135742,-44.603458404541016,-51.22410202026367,-49.00253677368164,-77.20988464355469
-62.297916412353516,-46.59257888793945,-44.71090316772461,-50.080787658691406,-48.76116943359375,-77.20988464355469
-62.741493225097656,-49.91408157348633,-46.6003532409668,-51.88277816772461,-46.81663513183594,-77.20988464355469
