two_stage_multi,two_stage_single,dfl_multi,dfl_single
-24.78633689880371,-29.70340347290039,-9.710549354553223,-19.36659049987793
-35.20762252807617,-39.75208282470703,-30.631935119628906,-27.036956787109375
-38.077537536621094,-39.06816482543945,-36.885536193847656,-36.82925033569336
-37.173500061035156,-42.024200439453125,-40.9398193359375,-36.688045501708984
-41.17658233642578,-41.43907928466797,-38.98589324951172,-38.16488265991211
-42.753787994384766,-42.59044647216797,-24.90101432800293,-41.85773468017578
-45.45930862426758,-41.65739440917969,-39.84270477294922,-40.75130844116211
-45.921363830566406,-45.89348220825195,-43.51179122924805,-47.01054382324219
-48.56747055053711,-42.209251403808594,-43.740325927734375,-45.32729721069336
-49.632694244384766,-45.609153747558594,-41.52140808105469,-46.74799346923828
-50.30509948730469,-48.289424896240234,-43.87772750854492,-47.38348388671875
-50.95659637451172,-48.413719177246094,-45.12705612182617,-45.427406311035156
-50.760738372802734,-46.73284912109375,-44.823795318603516,-46.04767608642578
-48.18844223022461,-48.448951721191406,-43.601036071777344,-46.447265625
-50.68657302856445,-48.818363189697266,-41.46272659301758,-46.22565841674805
-46.977508544921875,-50.107242584228516,-45.13795471191406,-48.25545120239258
-49.96848678588867,-49.408424377441406,-43.8405876159668,-48.20648193359375
-51.52312469482422,-49.24467849731445,-42.31715774536133,-45.691410064697266
-53.07429122924805,-48.83804702758789,-45.024192810058594,-46.85763168334961
-51.79908752441406,-50.06548309326172,-43.10173416137695,-46.13020324707031
-53.804237365722656,-50.75545120239258,-42.66914749145508,-47.51765823364258
-51.52072525024414,-50.427978515625,-44.20132064819336,-45.32967758178711
-53.69012451171875,-50.71522521972656,-44.431636810302734,-48.89274597167969
-56.56217575073242,-50.65109634399414,-44.95009994506836,-47.4417724609375
-52.7928466796875,-51.349403381347656,-44.476654052734375,-49.474422454833984
-52.41818618774414,-51.88119125366211,-42.285301208496094,-48.0118408203125
-54.04048538208008,-51.96843719482422,-45.43715286254883,-47.23619079589844
-55.00739288330078,-52.51530456542969,-43.73249816894531,-49.38322830200195
-55.113616943359375,-52.47423553466797,-42.961360931396484,-48.79711151123047
-53.71883010864258,-50.94940948486328,-33.82460403442383,-45.291465759277344
-56.75267791748047,-53.62797164916992,-44.75679397583008,-49.86613082885742
-55.173431396484375,-54.72167205810547,-44.19994354248047,-49.142822265625
-57.06504821777344,-54.11820602416992,-43.32305908203125,-48.70166778564453
-54.84878921508789,-54.06864547729492,-45.44124221801758,-48.92812728881836
-56.62728500366211,-54.19984817504883,-46.12696075439453,-50.40633773803711
-57.04353713989258,-53.677276611328125,-45.966373443603516,-49.41026306152344
-56.53620910644531,-53.475372314453125,-42.676509857177734,-49.4181022644043
-56.69575119018555,-52.3287467956543,-42.28160095214844,-48.31809616088867
-57.329742431640625,-53.79798889160156,-45.41154098510742,-49.67551040649414
-57.69768142700195,-54.27199935913086,-44.422218322753906,-47.296504974365234
-57.428550720214844,-53.616249084472656,-45.088558197021484,-50.70869064331055
-57.101436614990234,-54.11046600341797,-44.56904983520508,-50.607139587402344
-55.332115173339844,-54.309993743896484,-44.45250701904297,-50.580223083496094
-58.340240478515625,-56.40369415283203,-45.64317321777344,-48.876976013183594
-57.12006759643555,-54.28456497192383,-43.667564392089844,-50.67086410522461
-58.038578033447266,-55.547080993652344,-44.20719528198242,-50.58315658569336
-57.30869674682617,-56.138580322265625,-44.90513229370117,-51.40210723876953
-57.43251419067383,-55.5922966003418,-43.959224700927734,-49.61375427246094
-57.413421630859375,-54.03308868408203,-41.31709289550781,-48.001220703125
-58.202354431152344,-54.94810104370117,-44.84000015258789,-51.11445617675781
