dff_multi,two_stage_multi,two_stage_single,dfl_multi,dfl_single,oracle
260.04888916015625,117.44742584228516,435.3993225097656,213.1096649169922,428.02880859375,-77.20988464355469
-61.192344665527344,-29.982444763183594,-26.925811767578125,-35.56769561767578,-37.71662902832031,-77.20988464355469
-61.455543518066406,-36.15861129760742,-39.38555908203125,-42.67283248901367,-42.46222686767578,-77.20988464355469
-64.45561218261719,-37.42862319946289,-40.4089241027832,-42.93605422973633,-45.49079895019531,-77.20988464355469
-63.11731719970703,-42.651123046875,-42.6407356262207,-47.96644973754883,-47.16069793701172,-77.20988464355469
-63.17578887939453,-45.39207458496094,-43.658042907714844,-48.61503219604492,-49.962623596191406,-77.20988464355469
-63.660579681396484,-44.898780822753906,-46.882606506347656,-41.6914176940918,-49.14676284790039,-77.20988464355469
-62.23137664794922,-49.322303771972656,-45.38945388793945,-46.12403869628906,-49.67057418823242,-77.20988464355469
-63.298011779785156,-50.307430267333984,-45.75197982788086,-53.11442184448242,-49.76704025268555,-77.20988464355469
