two_stage_multi,two_stage_single,dfl_multi,dfl_single
-21.641326904296875,-30.990678787231445,-18.60662841796875,-32.987117767333984
-33.685829162597656,-39.5601921081543,-35.703392028808594,-43.65650939941406
-38.292423248291016,-40.79175567626953,-44.13562774658203,-44.97927474975586
-38.76033020019531,-41.78498840332031,-43.48782730102539,-46.93406295776367
-42.675819396972656,-41.91398239135742,-47.87068176269531,-45.243133544921875
-42.6439323425293,-44.380088806152344,-47.40749740600586,-45.175350189208984
-47.299964904785156,-45.11018371582031,-51.85554122924805,-48.62744140625
-49.6599235534668,-46.181190490722656,-51.91278076171875,-48.47983932495117
-50.324119567871094,-45.67632293701172,-50.294010162353516,-49.89179992675781
-51.89335632324219,-46.753910064697266,-50.884605407714844,-48.49565505981445
-52.93182373046875,-48.19075012207031,-53.55281066894531,-52.323421478271484
-53.41950607299805,-47.34269332885742,-52.41877746582031,-50.27701187133789
-54.922691345214844,-47.936134338378906,-52.292259216308594,-50.17591094970703
-53.16292190551758,-46.3565788269043,-55.20703125,-51.74610900878906
-54.61376190185547,-49.00172424316406,-55.34695816040039,-53.24002456665039
-49.808223724365234,-47.78925323486328,-56.124855041503906,-54.278114318847656
-55.45701217651367,-48.735294342041016,-54.360679626464844,-54.23346710205078
-53.717777252197266,-47.20005416870117,-52.54597091674805,-52.517520904541016
-54.265689849853516,-48.222415924072266,-54.07745361328125,-51.77619934082031
-53.65241622924805,-48.120460510253906,-53.721805572509766,-51.5318717956543
-51.35137176513672,-49.34016418457031,-43.21003723144531,-52.288028717041016
-45.55500411987305,-48.615299224853516,-54.200599670410156,-54.108558654785156
-54.42152786254883,-50.680912017822266,-54.23579025268555,-54.39140319824219
-55.64619445800781,-49.08334732055664,-53.29804229736328,-53.74746322631836
-54.85287094116211,-52.06734085083008,-55.49974822998047,-53.118953704833984
-55.36167526245117,-50.323917388916016,-54.54247283935547,-53.34595489501953
-54.53040313720703,-51.08066940307617,-53.37369155883789,-53.22799301147461
-53.9322509765625,-52.21622848510742,-57.865413665771484,-53.32328414916992
-57.65826416015625,-51.329566955566406,-56.18642044067383,-54.91260528564453
-56.53032684326172,-50.14120101928711,-55.055076599121094,-53.085899353027344
-52.26181411743164,-50.7759895324707,-57.44755172729492,-54.549415588378906
-56.225833892822266,-50.40639114379883,-54.434268951416016,-54.815547943115234
-54.16127395629883,-53.17021179199219,-46.959678649902344,-56.055965423583984
-53.63969421386719,-50.18440246582031,-56.66570281982422,-56.0761604309082
-54.160152435302734,-52.02416229248047,-56.777931213378906,-55.56228256225586
-56.7470703125,-52.15364456176758,-53.86338806152344,-55.58121871948242
-57.3381462097168,-51.59101104736328,-56.25614547729492,-54.49246597290039
-58.53824234008789,-51.684329986572266,-54.78108215332031,-55.29412078857422
-56.200408935546875,-51.71145248413086,-57.96892166137695,-50.75205993652344
-55.0155143737793,-49.744205474853516,-56.10779571533203,-54.071163177490234
-55.39638137817383,-53.02748107910156,-55.556922912597656,-56.3258056640625
-54.84794998168945,-51.179595947265625,-52.954345703125,-53.882904052734375
-57.57255554199219,-52.66699981689453,-56.031986236572266,-55.97976303100586
-56.69395065307617,-52.921173095703125,-58.118751525878906,-55.70189666748047
-56.16009521484375,-51.18800735473633,-57.517398834228516,-55.341644287109375
-55.755619049072266,-52.33755874633789,-56.97162628173828,-56.267311096191406
-56.12717056274414,-51.33090591430664,-55.21772766113281,-55.25922393798828
-56.44618606567383,-50.30699920654297,-58.25054931640625,-54.47126388549805
-55.83336639404297,-52.006675720214844,-55.434669494628906,-56.251258850097656
-57.018070220947266,-54.89030456542969,-56.843265533447266,-56.48863983154297
