dff_multi,two_stage_multi,two_stage_single,dfl_multi,dfl_single,oracle
264.8562927246094,172.94754028320312,430.8890686035156,112.16981506347656,425.31561279296875,-77.20988464355469
-55.43952941894531,-29.61244773864746,-31.05350685119629,-39.49394607543945,-36.36660385131836,-77.20988464355469
-57.413822174072266,-37.73548126220703,-35.05442810058594,-37.21986770629883,-45.17826843261719,-77.20988464355469
-59.854209899902344,-37.68833541870117,-40.38134765625,-48.16347885131836,-47.551612854003906,-77.20988464355469
-60.97954177856445,-42.76648712158203,-41.94646453857422,-50.95722198486328,-48.200992584228516,-77.20988464355469
-59.0880241394043,-41.325374603271484,-44.902992248535156,-50.89058303833008,-49.02859115600586,-77.20988464355469
-59.696815490722656,-41.83816909790039,-45.23282241821289,-54.70380401611328,-50.553802490234375,-77.20988464355469
-61.775142669677734,-48.14529037475586,-47.29682159423828,-53.60928726196289,-49.2967414855957,-77.20988464355469
-61.702632904052734,-48.49836730957031,-47.2237663269043,-53.28266143798828,-53.754947662353516,-77.20988464355469
