two_stage_multi,two_stage_single,dfl_multi,dfl_single
-31.262466430664062,-30.060138702392578,-0.3759235143661499,1.0785707235336304
-37.65684509277344,-37.02942657470703,-15.695328712463379,-6.992729187011719
-41.883155822753906,-39.824554443359375,-20.903194427490234,-13.50344181060791
-42.197235107421875,-43.0941047668457,-28.551742553710938,-18.437082290649414
-43.116024017333984,-44.70488357543945,-27.933292388916016,-23.966482162475586
-44.74995422363281,-46.30449676513672,-31.730546951293945,-30.051631927490234
-45.73252487182617,-46.79316329956055,-35.17472457885742,-33.75442886352539
-41.456050872802734,-45.8714599609375,-30.09876823425293,-37.02140426635742
-46.93162536621094,-47.45627212524414,-33.11262893676758,-41.88869094848633
-47.684226989746094,-47.207523345947266,-39.23185348510742,-43.78021240234375
-47.63759994506836,-47.80394744873047,-36.038272857666016,-42.992652893066406
-52.575584411621094,-48.08863067626953,-37.17522048950195,-46.093528747558594
-51.13982391357422,-49.65634536743164,-39.90705871582031,-45.33359909057617
-52.2628288269043,-49.9874267578125,-42.32929611206055,-46.73753356933594
-49.834228515625,-49.99787902832031,-39.704776763916016,-45.9852409362793
-51.41082000732422,-48.05488204956055,-41.73106384277344,-45.24380111694336
-54.14904022216797,-47.644039154052734,-34.84438705444336,-46.914833068847656
-52.73017501831055,-49.544532775878906,-42.0623893737793,-47.3092041015625
-54.0093994140625,-51.15333938598633,-39.84089279174805,-45.76069641113281
-53.17665100097656,-48.0841064453125,-42.4509391784668,-47.22184371948242
-54.13554382324219,-49.53689193725586,-40.98747634887695,-46.4725341796875
-54.67070007324219,-50.657318115234375,-43.27724075317383,-48.142452239990234
-54.70934295654297,-49.39909362792969,-41.60036087036133,-48.85979080200195
-52.92575454711914,-51.60408020019531,-39.93962860107422,-48.321170806884766
-52.2423095703125,-49.44077682495117,-37.21139907836914,-46.9130744934082
-53.850120544433594,-49.33259582519531,-38.284847259521484,-48.50569152832031
-52.92456817626953,-49.79377365112305,-41.742774963378906,-47.314754486083984
-51.01869201660156,-47.65660858154297,-43.699676513671875,-48.554386138916016
-47.08811569213867,-49.79862976074219,-42.75974655151367,-49.14554977416992
-52.858638763427734,-49.97047805786133,-42.634056091308594,-48.428001403808594
-50.19755172729492,-51.445457458496094,-40.55857467651367,-49.28874206542969
-51.61984634399414,-47.2613639831543,-38.70927047729492,-49.81882858276367
-54.628990173339844,-50.45674514770508,-44.09296417236328,-47.53770446777344
-55.98680114746094,-51.28759002685547,-43.46731948852539,-49.08151626586914
-53.09967803955078,-49.61965560913086,-43.61905288696289,-48.92311096191406
-54.88654708862305,-51.48622131347656,-36.949275970458984,-48.58802795410156
-54.47172927856445,-51.93238067626953,-41.8466796875,-48.65476989746094
-53.19596862792969,-50.6929817199707,-44.62376022338867,-48.253849029541016
-54.46461868286133,-51.41850662231445,-44.00987243652344,-48.6572380065918
-55.69890594482422,-52.195716857910156,-41.89604187011719,-48.88650131225586
-56.86947250366211,-52.0358772277832,-44.73590850830078,-49.43893051147461
-56.00254440307617,-50.10453796386719,-44.51583480834961,-50.213836669921875
-54.95401382446289,-52.241519927978516,-43.4786376953125,-49.3028450012207
-53.786529541015625,-51.03036880493164,-39.433658599853516,-49.46641540527344
-57.381778717041016,-52.28600311279297,-43.47221755981445,-51.006473541259766
-56.27877426147461,-52.8381233215332,-43.48590850830078,-49.839683532714844
-56.4451904296875,-53.5141487121582,-42.593318939208984,-49.71311569213867
-57.10166549682617,-53.379547119140625,-41.77353286743164,-50.50163650512695
-54.90128707885742,-53.72645950317383,-43.4343147277832,-50.77822494506836
-56.86347961425781,-55.6862907409668,-43.20132827758789,-51.365943908691406
